id,submission_id,item_id,value,created_at
101,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q2,30,2026-03-24 09:18:45
102,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q3,76,2026-03-24 09:18:45
103,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q4,68,2026-03-24 09:18:45
104,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q6,78,2026-03-24 09:18:45
105,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q7,18,2026-03-24 09:18:45
106,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q10,26,2026-03-24 09:18:45
107,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q11,36,2026-03-24 09:18:45
108,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q12,56,2026-03-24 09:18:45
109,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q13,60,2026-03-24 09:18:45
110,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q14,12,2026-03-24 09:18:45
111,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q15,65,2026-03-24 09:18:45
112,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q17,44,2026-03-24 09:18:45
113,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q18,71,2026-03-24 09:18:45
114,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q19,86,2026-03-24 09:18:45
115,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,q25,74,2026-03-24 09:18:45
