id,submission_id,scale_id,score_value,created_at
301,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Experience of Unity,82,2026-03-24 09:18:45
302,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Spiritual Experience,76,2026-03-24 09:18:45
303,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Blissful State,68,2026-03-24 09:18:45
304,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Insightfulness,74,2026-03-24 09:18:45
305,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Disembodiment,28,2026-03-24 09:18:45
306,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Impaired Control and Cognition,40,2026-03-24 09:18:45
307,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Anxiety,12,2026-03-24 09:18:45
308,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Complex Imagery,71,2026-03-24 09:18:45
309,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Elementary Imagery,65,2026-03-24 09:18:45
310,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Audio-Visual Synesthesia,18,2026-03-24 09:18:45
311,6f9d0e2c-1234-4ad9-acde-8b9df7301f00,Changed Meaning of Percepts,58,2026-03-24 09:18:45
